PassengerId,Survived_pred,Survived_prob
892,0,0.10575062505748241
893,0,0.3779104609384245
894,0,0.0880341377587694
895,0,0.1045396654371942
896,1,0.5806205237958038
897,0,0.15817302703072855
898,1,0.6843984519609028
899,0,0.1546404309522786
900,1,0.7853528862456203
901,0,0.07053275287031291
902,0,0.10085442188131903
903,0,0.23516423642177087
904,1,0.9490680998348026
905,0,0.049805594724572
906,1,0.6756137327595757
907,1,0.8324740282012908
908,0,0.2070994222243235
909,0,0.17390888619268244
910,1,0.5582309268309543
911,1,0.5779128675974456
912,0,0.20857875693286562
913,0,0.1639200735708483
914,1,0.9045294415117376
915,1,0.5407198005130257
916,1,0.9573892909531598
917,0,0.03493907648024034
918,1,0.9705170419666946
919,0,0.16620307576405285
920,0,0.4114466910869541
921,0,0.07820217886258218
922,0,0.07760885322189928
923,0,0.13425039462670163
924,0,0.4632116079009213
925,1,0.5120145562142806
926,0,0.34860692293268514
927,0,0.1873771011640034
928,1,0.6362293005112319
929,1,0.693542236462337
930,0,0.1119435832183364
931,0,0.12345573323588967
932,0,0.09149134636409724
933,1,0.5241711336750199
934,0,0.06530004747668684
935,1,0.7856400318934221
936,1,0.8792045097374802
937,0,0.11121222261872475
938,0,0.4676842385999442
939,0,0.1302617691811916
940,1,0.9079478436712602
941,1,0.5205725847675106
942,1,0.5095490869696196
943,0,0.27876553576325236
944,1,0.7061730592802994
945,1,0.8256375637823816
946,0,0.272011687691902
947,0,0.06310101320379
948,0,0.07998178619840353
949,0,0.1101824398929686
950,0,0.07514597968976082
951,1,0.9826082896071157
952,0,0.1434012036102787
953,0,0.17979993834872476
954,0,0.13890551532115442
955,1,0.7437859747346051
956,1,0.8006584147757434
957,1,0.803627928376702
958,1,0.7706664825650381
959,0,0.2425119790620931
960,1,0.5926101710766607
961,1,0.7088056224572751
962,1,0.7296898137525518
963,0,0.1264256164028334
964,1,0.6276260193201888
965,1,0.613476761120418
966,1,0.9787994886380164
967,1,0.7644496684174161
968,0,0.10091994421905523
969,1,0.8884928727155544
970,0,0.19042703480910306
971,1,0.7296898137525518
972,0,0.1905362501877735
973,0,0.31662425741263467
974,0,0.21609176012525486
975,0,0.10085442188131903
976,0,0.2506100051001616
977,0,0.10526891983498164
978,1,0.7077420221688064
979,1,0.7156682156480225
980,1,0.7000284988838074
981,0,0.2987890478604775
982,1,0.6092104415195755
983,0,0.10080311818721496
984,1,0.7163656565670125
985,0,0.10091994421905523
986,0,0.4907545513361806
987,0,0.1111524137270621
988,0,0.38267900389547177
989,0,0.09761289233888018
990,1,0.7004307188412556
991,0,0.0855623227112065
992,1,0.9205000474885798
993,0,0.162737809879072
994,0,0.1302617691811916
995,0,0.10759702366198741
996,1,0.7117685294403019
997,0,0.10724103308312583
998,0,0.16199115706985825
999,0,0.1302617691811916
1000,0,0.10120188243785327
1001,0,0.39883946826550515
1002,0,0.18843826087584803
1003,1,0.7000572213366508
1004,1,0.9504306884341741
1005,1,0.7669350474929735
1006,1,0.8930581588371338
1007,0,0.14480203638398478
1008,0,0.13983149523313557
1009,0,0.49343576867462174
1010,1,0.6014542262421592
1011,1,0.7379372889046224
1012,1,0.8772880162671617
1013,0,0.09453191532057106
1014,1,0.939981384066968
1015,0,0.10058042008139315
1016,0,0.1302617691811916
1017,1,0.7080782003419944
1018,0,0.12240912908590358
1019,1,0.5494145112119335
1020,0,0.13192033587158652
1021,0,0.11492133383659839
1022,0,0.08845392633463886
1023,0,0.39501105870492015
1024,1,0.5488792286356617
1025,0,0.10178392337481447
1026,0,0.061006612773554084
1027,0,0.11482807356782092
1028,0,0.1469914300061168
1029,0,0.21389216647244352
1030,1,0.6772265315765583
1031,0,0.030192931137325817
1032,0,0.3474459085099697
1033,1,0.9326471584750494
1034,0,0.47321896641271166
1035,0,0.21189631747809481
1036,0,0.2628544843165487
1037,0,0.03448119970392152
1038,0,0.2656445424905826
1039,0,0.12253710597631554
1040,0,0.3724946886030625
1041,0,0.13489799911974484
1042,1,0.9773868568436251
1043,0,0.14065517504111402
1044,0,0.03421843481308284
1045,1,0.5162258702871224
1046,0,0.03926461261075251
1047,0,0.11468331263236364
1048,1,0.9763618033633518
1049,1,0.6770260059456638
1050,0,0.39821805854810266
1051,1,0.6074061367067796
1052,1,0.7000120712949984
1053,0,0.18498474326621897
1054,1,0.8095054687897896
1055,0,0.10047452702518558
1056,0,0.1361453676976303
1057,1,0.556092844270688
1058,0,0.4647487537450855
1059,0,0.06638060736193233
1060,1,0.9313710235181116
1061,1,0.6860536166741227
1062,0,0.10070762258210046
1063,0,0.1447238090683855
1064,0,0.08798507025428297
1065,0,0.14027816238527227
1066,0,0.031339451776190394
1067,1,0.8512522430506984
1068,1,0.8549713053763599
1069,0,0.33239721054476357
1070,1,0.96978488600985
1071,1,0.8757888722743836
1072,0,0.19042703480910306
