PassengerId,Survived,Survived_prob
892,0,0.128030858725667
893,0,0.4935747453522321
894,0,0.16653292958535523
895,0,0.17985561139870987
896,1,0.5647733857719239
897,0,0.12584094424514194
898,1,0.5463759835679817
899,0,0.21486808137390676
900,1,0.6797805018802459
901,0,0.1265520522589361
902,0,0.11005003019284543
903,0,0.1852736086698416
904,1,0.9061105949658379
905,0,0.17852444210631963
906,1,0.8502928427461327
907,1,0.8280851614811782
908,0,0.15050265763636486
909,0,0.2774970308656232
910,0,0.44378371023088
911,1,0.6832217615580091
912,0,0.25097423532178026
913,0,0.2900794164367403
914,1,0.843940113497979
915,0,0.2735172946315957
916,1,0.8998451744720427
917,0,0.11789904534297196
918,1,0.9120821842834391
919,0,0.2774970308656232
920,0,0.32163091445628583
921,0,0.22908005309682403
922,0,0.15417062897283126
923,0,0.18550798558117174
924,1,0.5768567700695304
925,0,0.370093842948184
926,0,0.4382038244368632
927,0,0.3598689934196344
928,0,0.4372054700627704
929,0,0.41721210147994037
930,0,0.12052618826591814
931,0,0.31017271388416734
932,0,0.27462501025847724
933,0,0.32202606450317167
934,0,0.1222933504170218
935,1,0.8334097202317419
936,1,0.8772196232282166
937,0,0.14323525189261643
938,0,0.36597612127901735
939,0,0.13495507423083805
940,1,0.9185458447539219
941,1,0.6447037335938433
942,0,0.3070289874661673
943,0,0.22683529126423338
944,1,0.7595302439726113
945,1,0.7944145295780936
946,0,0.22642107674011178
947,0,0.08999192831370369
948,0,0.11143337466823083
949,0,0.21873784762558698
950,0,0.11861806750932143
951,1,0.9316824815783642
952,0,0.10609930190897789
953,0,0.11302479620580627
954,0,0.10346509230987555
955,1,0.709084407088905
956,1,0.5351513331449058
957,1,0.8089494574573198
958,1,0.5751016675591053
959,0,0.21715491710334434
960,0,0.36969219211398396
961,1,0.6462061604865991
962,1,0.693024578029076
963,0,0.11137228142781229
964,0,0.46261001913892946
965,0,0.37737179745487964
966,1,0.9316824815783642
967,0,0.4333540544421098
968,0,0.11247643267074793
969,1,0.8656760454449204
970,0,0.12642377190203097
971,1,0.693024578029076
972,1,0.5498226212395525
973,0,0.30212388518817856
974,0,0.1852736086698416
975,0,0.11005003019284543
976,0,0.16512856027942632
977,0,0.17383818722665048
978,1,0.7663197957423972
979,0,0.4276233568911957
980,1,0.7475964286694751
981,1,0.6162678438020264
982,1,0.528136795845989
983,0,0.12694631274376597
984,1,0.7832573734555913
985,0,0.11247643267074793
986,0,0.24231216971302913
987,0,0.15148957062580423
988,1,0.8500076899781717
989,0,0.14722145296685893
990,0,0.43251105252889127
991,0,0.11003037632679445
992,1,0.9392238140554211
993,0,0.16724858744612825
994,0,0.13495507423083805
995,0,0.14733860307817978
996,1,0.6452301973412193
997,0,0.11896598017269482
998,0,0.11600295545423778
999,0,0.13495507423083805
1000,0,0.11761582661014185
1001,0,0.32571502229537397
1002,0,0.18603920369857704
1003,1,0.7409297620028084
1004,1,0.8837095555180299
1005,0,0.44354037473237284
1006,1,0.8576143160555086
1007,0,0.3078400735321934
1008,0,0.10897195027473769
1009,1,0.5218757741434494
1010,0,0.440529238622365
1011,1,0.84491936083222
1012,1,0.7594106629324364
1013,0,0.13038648898942443
1014,1,0.941413469227835
1015,0,0.11672024110548065
1016,0,0.13495507423083805
1017,1,0.631589752982476
1018,0,0.1200063882033779
1019,1,0.8368581310043811
1020,0,0.15033825150179134
1021,0,0.1185149459753848
1022,0,0.12426936086209892
1023,0,0.3664256320492569
1024,0,0.23927715191994894
1025,0,0.15400909567004809
1026,0,0.11180830619133733
1027,0,0.13411889151006445
1028,0,0.16547765861868133
1029,0,0.13098128965118142
1030,0,0.42454485604991754
1031,0,0.12189578859355776
1032,0,0.1533547391223847
1033,1,0.9158747032870638
1034,0,0.47045683763256013
1035,0,0.12956591597968806
1036,0,0.2344989999266711
1037,0,0.12931775654851427
1038,0,0.30510595345097535
1039,0,0.11416824191010724
